具体地址,小区名称,格局,总价,每平米价格,朝向,面积,楼层,装修,房屋结构
哈西商圈,恒祥城一期,2室1厅,188,14352,北 南,131,32,精装,板楼
中央大街,松花江·尚,1室1厅,97,21907,南,44.28,20,精装,板楼
公路大桥,河江街,1室1厅,30,8824,东,34,4,简装,暂无数据
群力新区,星光耀广场,1室0厅,40,8889,北,45,40,精装,板楼
安字片,安定街,2室1厅,53,8413,南,63,8,精装,板塔结合
哈西商圈,恒祥城二期,1室1厅,105,13290,南,79.01,32,简装,板塔结合
工农大街,丽水丁香园,2室2厅,142,14060,南 北,101,7,精装,板楼
工农大街,阳光印象,2室2厅,115,14198,南,81,31,精装,板楼
哈西商圈,康安家园,2室1厅,83,9652,南 北,86,7,精装,板楼
群力新区,海富臻园,2室1厅,145,14949,北 南,97,26,精装,板楼
群力新区,民生尚都祥园,1室1厅,55.8,8455,东,66,32,简装,板楼
建国公园,松树街,1室1厅,34.5,8215,南,42,8,简装,板楼
兆麟校,朝阳胡同,2室0厅,66,14519,东 西,45.46,7,简装,板楼
公路大桥,哈药路,2室1厅,32,6809,西 东,47,7,简装,板楼
顾乡大街,康安小区(道里区),1室1厅,30.8,6601,西 北,46.66,8,精装,板楼
顾乡大街,埃德蒙顿路,1室1厅,28,9044,西,30.96,8,简装,板楼
群力新区,民生尚都祥园,2室1厅,65,9609,南 北,67.65,32,精装,板楼
安字片,经纬十道街,1室1厅,37,10000,南,37,7,精装,板楼
顾乡大街,乡社街西区,2室0厅,24.8,5277,南 北,47,8,简装,板塔结合
工农大街,丽水雅居,1室1厅,55,10378,南 北 东,53,32,精装,板楼
群力新区,河松小区一期,3室1厅,73,8353,南 北,87.4,8,简装,板塔结合
工农大街,迎宾小区,2室1厅,38,7756,南 北,49,7,简装,板楼
群力新区,远大·都市明珠南区,2室1厅,118,12770,南 北,92.41,17,精装,板楼
安字片,安松街,1室1厅,76,11693,东南,65,7,简装,板楼
群力新区,海富康城,2室2厅,125,11814,南 北,105.81,7,精装,板塔结合
哈西商圈,恒祥城二期,2室1厅,119,11783,南 北,101,32,精装,板楼
工农大街,翡翠城,1室1厅,69.8,12926,南,54,24,简装,板楼
兆麟校,哈威广场威乐斯大厦99号公馆,1室1厅,60,13334,南,45,38,简装,塔楼
群力新区,民生尚都和园,1室1厅,68,9190,东南,74,32,精装,板楼
哈西商圈,恒祥城一期,1室1厅,70,13208,南,53,27,精装,板楼
公路大桥,共乐小区,1室1厅,33,10000,南 北,33,8,精装,板楼
群力新区,海富康城,2室1厅,62,10690,西,58,6,精装,板塔结合
顾乡凯德广场,清河湾小区,2室1厅,60,10910,南 北,55,7,简装,板楼
安字片,安德街,1室1厅,35,8537,南,41,9,简装,板塔结合
群力新区,河松小区二期,2室1厅,115,8215,西 南,140,2,精装,板楼
西大桥商圈,民众小区,2室1厅,29.8,7239,南 北,41.17,8,其他,板楼
建国公园,新阳路,1室1厅,30,6819,西南,44,9,简装,板楼
群力新区,海富禧园,2室1厅,149,14467,南 北,103,18,毛坯,板楼
团结萧红校哈站北秀宾馆,地德里小区(抚顺街),1室0厅,27,8438,东 西,32,8,简装,板塔结合
工农大街,迎宾小区,2室0厅,39.9,8803,西南,45.33,7,精装,板楼
建国公园,松树街,1室0厅,24,7133,东南,33.65,8,简装,板塔结合
工农大街,漫步·巴黎,2室1厅,114.9,16653,西北,69,18,精装,板楼
群力新区,群力观江国际,2室1厅,280,22492,南 北,124.49,30,简装,板楼
工农大街,迎宾小区,2室1厅,60,6805,南 北,88.18,7,简装,板楼
群力新区,天然家园,2室1厅,170,11248,南 北,151.14,18,简装,板楼
安字片,安祥街,1室1厅,35.5,8139,南,43.62,8,精装,板塔结合
安字片,安平街,2室1厅,32.8,8252,南,39.75,7,简装,板塔结合
哈西商圈,恒祥城一期,2室1厅,113,13696,西南,82.51,32,精装,板楼
安字片,安国街,2室1厅,56,7866,南 北,71.2,8,精装,板塔结合
安字片,安松街,1室1厅,18.9,9357,西,20.2,8,简装,板楼
工农大街,新城花园,2室1厅,92,11725,南 北,78.47,7,简装,板塔结合
兆麟校,哈威广场威乐斯大厦99号公馆,1室0厅,65,14493,西,44.85,38,精装,塔楼
哈西商圈,新大发国际,2室1厅,116,11050,南 西,104.98,32,精装,板楼
安字片,抚顺街,2室1厅,53,8031,东南,66,6,精装,板塔结合
顾乡大街,乡政街,3室1厅,55,7634,东 西,72.05,8,简装,板楼
顾乡大街,新天地家园,2室1厅,78.5,11215,南 北,70,7,简装,板楼
顾乡凯德广场,湖景春晓,1室1厅,77,12068,东,63.81,30,精装,板楼
群力新区,群力家园k区,2室1厅,129,11691,南 北,110.35,26,精装,板楼
顾乡大街,乡政街,1室1厅,32.8,8630,北,38.01,8,简装,暂无数据
工农大街,丽水丁香园,1室1厅,68,13156,南,51.69,22,精装,板楼
顾乡大街,电炉小区,2室1厅,67,7357,南 北,91.08,8,简装,板楼
安字片,安良街,1室1厅,34.5,9004,东南,38.32,7,精装,板塔结合
群力新区,海富康城,2室1厅,49,6164,南 北,79.5,7,精装,板塔结合
工农大街,报达文化嘉园第一期,2室1厅,83,10191,东南,81.45,7,精装,板楼
顾乡大街,溪畔嘉园,2室1厅,89,10771,东南,82.63,16,精装,板楼
顾乡凯德广场,湖景春晓,1室1厅,86.8,11910,西南,72.88,30,精装,板楼
顾乡大街,乡政街,2室1厅,63,10592,西,59.48,8,简装,暂无数据
群力新区,海富御园,2室2厅,164.8,15742,南 北,104.69,8,精装,板楼
中央大街,太阳居公寓,3室1厅,315,13455,西 北,234.13,30,精装,塔楼
顾乡凯德广场,通顺街,3室1厅,73,4507,南 北,162,7,精装,板楼
兆麟校,新华广场,2室1厅,77.8,8320,东 西,93.51,8,简装,板楼
公路大桥,民安小区(道里区),2室1厅,50,6850,南 北,73,7,精装,板楼
顾乡大街,康安小区(道里区),2室1厅,61.8,8026,东 西,77,8,简装,板楼
顾乡大街,美晨家园,2室1厅,79,10973,东 西,72,7,简装,板塔结合
安字片,安宁街,2室1厅,74.8,8312,南 北,90,8,毛坯,板塔结合
顾乡大街,都市秀景,2室1厅,93,8943,东 西,104,8,简装,板楼
群力新区,三松宜家,3室1厅,155,13026,南 西 北,119,32,精装,板楼
中央大街,中医街,3室1厅,86.8,9645,东 西,90,7,毛坯,板楼
顾乡大街,新华小区(道里区),2室1厅,40,7858,南 北,50.91,8,精装,板楼
安字片,安定街,2室1厅,42.5,8334,南,51,3,简装,暂无数据
顾乡大街,美晨家园,2室2厅,123,11316,东 西,108.7,18,精装,板塔结合
顾乡大街,新天地家园,3室2厅,95,9694,南 北,98,7,精装,板楼
顾乡大街,新天地家园,2室2厅,129.8,10468,东 西,124,20,精装,板楼
群力新区,玫瑰湾小区东区,2室2厅,200,17858,南 北,112,11,精装,板楼
群力新区,群力新城小区北区,4室2厅,400,19513,南 北,205,28,毛坯,板楼
群力新区,保利城,2室1厅,120,13637,南 北,88,32,精装,板楼
顾乡大街,康安小区(道里区),2室1厅,38,6032,西,63,7,简装,板楼
安字片,安升街(安隆街),2室1厅,46,7667,南,60,8,简装,板楼
安字片,安国街,2室1厅,41.5,8300,西北,50,8,简装,板塔结合
群力新区,中海寰宇天下,3室1厅,165,14733,南 北,112,24,毛坯,板楼
顾乡凯德广场,宝宇荣耀天地,2室2厅,156,12881,南 北,121.11,32,精装,板楼
顾乡大街,新华小区(道里区),2室1厅,61,9343,东 西,65.29,8,简装,板楼
安字片,安定街,3室1厅,49,5527,南 北,88.66,8,简装,板塔结合
哈西商圈,恒兴花园,2室2厅,108,10094,南 北,107,7,简装,板楼
工农大街,报达文化嘉园第一期,2室1厅,46,9157,南,50.24,7,精装,板楼
顾乡大街,新天地家园,2室1厅,110,10785,东 西,102,7,简装,板楼
顾乡大街,郁金台,2室2厅,108,12000,南,90,33,精装,板楼
顾乡大街,康安小区(道里区),2室1厅,69.8,7506,南 北,93,9,精装,板楼
团结萧红校哈站北秀宾馆,地德里小区(抚顺街),2室1厅,104.5,11612,西南,90,16,精装,板塔结合
公路大桥,华通名苑,2室1厅,85,8948,南 北,95,7,精装,塔楼
群力新区,财智公馆,2室1厅,73,11628,东南,62.78,33,精装,板塔结合
群力新区,海富康城,2室1厅,95,9694,南 北,98,7,简装,板楼
建国公园,松滨里小区,2室1厅,63,6848,南 北,92,9,毛坯,板塔结合
顾乡大街,康安小区(道里区),2室1厅,40.1,4456,南 北,90,8,简装,板楼
顾乡凯德广场,南方花园,2室1厅,93,8986,南 北,103.5,8,简装,板楼
哈西商圈,恒祥城一期,3室2厅,189,14105,南 北,134,32,精装,板楼
顾乡凯德广场,清河湾小区,2室1厅,51.8,9250,南,56,7,简装,板楼
哈西商圈,康安家园,2室1厅,88.5,10291,南 北,86,7,简装,板楼
工农大街,群力新苑东区,2室1厅,107,12321,南 北,86.85,14,简装,板楼
工农大街,翡翠城,2室1厅,138,12506,南 北,110.35,32,简装,板楼
群力新区,招商贝肯山,1室1厅,91.8,17175,南,53.45,32,简装,板楼
群力新区,中海寰宇天下,2室1厅,129.8,14717,南 北,88.2,34,精装,板楼
公路大桥,建议街,2室1厅,48.5,7579,西南,64,7,简装,板楼
群力新区,招商贝肯山三期,3室2厅,220,16320,南 北,134.81,32,毛坯,板楼
安字片,安宁街,2室2厅,65.8,6580,南,100,8,简装,板楼
公路大桥,河清街,2室0厅,32.8,5467,南,60,7,简装,板楼
顾乡大街,美晨家园,2室1厅,74.8,11632,南 北,64.31,7,简装,板塔结合
工农大街,迎宾小区,3室1厅,110,7972,东 南,138,18,简装,板楼
公路大桥,正基嘉苑,2室1厅,127,12096,南 北,105,13,精装,板楼
顾乡大街,康安小区(道里区),1室1厅,69.8,10910,南 北,63.98,8,精装,板楼
建国公园,松滨里小区,2室1厅,68,8948,南,76,7,简装,板楼
公路大桥,哈药路,2室1厅,62.8,8785,南 北,71.49,8,简装,板塔结合
群力新区,锦江绿色家园,2室2厅,127.8,10266,南 北,124.5,7,精装,板楼
群力新区,河松小区二期,2室1厅,62,5741,南 北,108,7,其他,板塔结合
群力新区,民生尚都和园,3室2厅,98,8750,南 北,112,32,毛坯,板楼
群力新区,运华广场 道里区,3室2厅,215,8399,南 北,256,19,精装,塔楼
工农大街,民生尚都瑞园,2室1厅,73,9734,南,75,6,简装,板楼
公路大桥,河洲街,2室1厅,55,11957,东 西,46,7,简装,板塔结合
群力新区,招商贝肯山二期,4室2厅,285,19257,南 北,148,8,毛坯,板楼
群力新区,中海寰宇天下,3室2厅,180,16072,南 北,112,25,毛坯,板楼
群力新区,招商贝肯山,3室2厅,245,19690,南 北,124.43,8,毛坯,板楼
工农大街,博尚雅居,3室2厅,162,12000,南 北,135,32,毛坯,板楼
群力新区,民生尚都怡园,2室2厅,93,8172,南 北,113.81,12,毛坯,板楼
工农大街,翡翠城,2室1厅,108,13847,南 北,78,32,其他,板楼
群力新区,中兴城,1室1厅,54,11522,西南,46.87,24,其他,板楼
顾乡凯德广场,清河湾小区,2室1厅,52,9123,南 北,57,7,其他,板楼
建国公园,钢铁街住宅小区,1室1厅,15.8,4938,南,32,8,其他,板楼
工农大街,天昊百年俪景,2室1厅,137,15394,南,89,25,其他,板楼
群力新区,熙郡印象馨园,1室0厅,58.5,9936,南,58.88,32,其他,板楼
群力新区,熙郡印象馨园,1室0厅,58,9864,南,58.8,32,简装,板楼
群力新区,熙郡印象馨园,1室0厅,58,9864,南,58.8,32,简装,板楼
群力新区,熙郡印象馨园,1室0厅,58,9851,南,58.88,32,精装,板楼
工农大街,天薇丽景园,1室1厅,85,12907,南,65.86,14,简装,板楼
顾乡大街,电炉小区,2室1厅,61.8,8829,东,70,8,其他,板楼
哈西商圈,红星城,1室1厅,82,10704,东南,76.61,27,其他,板楼
群力新区,海富康城,2室2厅,118,11239,南 北,105,7,其他,板塔结合
工农大街,翡翠城,2室1厅,126.5,13504,西南,93.68,32,其他,板楼
中央大街,中医街,2室0厅,40,7363,南,54.33,7,其他,板楼
群力新区,宝石花园,3室1厅,161,13244,东 南 北,121.57,16,精装,板楼
群力新区,汇锦香槟湾,3室1厅,255,18889,南 北,135,33,其他,板楼
工农大街,漫步·巴黎,2室1厅,128,15610,东北,82,24,其他,板楼
顾乡大街,美晨家园,2室1厅,115,12094,南 北 西,95.09,19,其他,板塔结合
群力新区,三松宜家,2室1厅,140,14000,南 北,100,23,其他,板楼
群力新区,康泰嘉园,2室1厅,130,10316,南 北,126.03,24,其他,板楼
公路大桥,河清街,2室1厅,29,4834,南 北,60,7,其他,板楼
群力新区,海富禧园,2室1厅,125,16255,南 北,76.9,21,其他,板楼
工农大街,群力新苑东区,2室1厅,79,10306,南 东 北,76.66,6,其他,暂无数据
建国公园,钢铁街住宅小区,2室1厅,62,7949,东南 北,78,8,其他,板楼
群力新区,康泰嘉园,2室1厅,139,11112,南 北,125.09,24,其他,板楼
工农大街,民生尚都瑞园,1室1厅,58,9063,南,64,18,其他,板楼
建国公园,紫金城,1室1厅,73,12127,南,60.2,32,其他,板楼
工农大街,天薇丽景园,2室1厅,96.8,11153,南 北 东,86.8,16,其他,板楼
公路大桥,光华小区,3室1厅,93,7440,南 北,125,8,精装,板楼
爱建,上实海上银座,5室3厅,1270,73654,南 北,172.43,20,精装,板楼
中央大街,中医街,2室1厅,160,11765,南 北,136,4,精装,板楼
群力新区,富力江湾新城,4室2厅,490,25790,南 北,190,19,精装,板楼
安字片,安平街,3室2厅,65,5910,南 北,110,7,简装,板塔结合
中央大街,建业大厦,3室1厅,270,13236,南,204,23,简装,塔楼
建国公园,松苍小区,3室1厅,120,8647,南 北,138.79,7,简装,板楼
工农大街,小职工街,2室1厅,62,8589,南 西,72.19,7,精装,板楼
顾乡大街,新天地家园,3室1厅,108,9056,南 北,119.26,7,简装,板楼
爱建,中兴家园,3室1厅,140,12845,东南 北,109,32,精装,板楼
爱建,锦园,2室2厅,199.8,15370,南 北,130,24,精装,塔楼
中央大街,东风街,2室1厅,89.5,9522,南 北,94,6,简装,板楼
群力新区,金安·向日葵,3室2厅,240,17778,南 北,135,18,精装,板楼
西大桥商圈,欧洲新城,3室2厅,245,13612,南 北,180,26,精装,板塔结合
西大桥商圈,欧洲新城,2室2厅,165,13200,南 北,125,34,精装,板塔结合
公路大桥,哈药路,2室1厅,49,7859,西南,62.35,8,简装,板塔结合
西大桥商圈,欧洲新城,3室2厅,205,13667,南 北,150,30,精装,板塔结合
建国公园,紫金城,3室1厅,176,12308,南 西 北,143,32,精装,板楼
工农大街,漫步·巴黎,3室1厅,265,17550,南 北,151,27,精装,板楼
群力新区,盛和天下,4室2厅,510,22768,南 北,224,30,毛坯,板楼
工农大街,上和园著,2室2厅,220,18364,南 北,119.8,9,精装,板楼
顾乡凯德广场,祥泰人家,2室2厅,95,8226,西,115.5,12,简装,板塔结合
顾乡大街,美晨家园,3室1厅,140,10072,南 北,139,18,简装,板塔结合
建国公园,紫金城,2室1厅,172,13231,南 北,130,32,精装,板楼
群力新区,海富第五大道,4室2厅,400,22472,南 北,178,9,精装,板楼
群力新区,瑞江观景花园,3室2厅,92,7077,南 北,130,7,简装,板楼
顾乡大街,美晨家园,2室1厅,128,11637,东 西,110,18,精装,板塔结合
群力新区,玫瑰湾,3室2厅,220,15329,南 北,143.52,28,精装,板楼
顾乡大街,三精家园,3室1厅,155,9118,南 北,170,15,精装,板楼
建国公园,新阳路,3室2厅,179.8,10327,南 北,174.12,8,精装,板楼
群力新区,盛和世纪,3室2厅,315,20323,南,155,29,精装,板楼
工农大街,上和园著,3室2厅,285,18153,南 北,157,32,精装,板楼
群力新区,天鹅湾,4室2厅,345,16274,东 南 北,212,28,简装,板楼
工农大街,迎宾小区,2室1厅,110,9091,南,121,18,简装,板楼
公路大桥,共乐小区,3室1厅,112,6154,南 北,182,8,简装,板塔结合
公路大桥,共乐小区,3室1厅,79,4115,南 北,192,8,精装,板塔结合
群力新区,恒盛豪庭,4室2厅,350,17500,南 北,200,28,毛坯,板楼
哈西商圈,恒兴花园,3室2厅,160,9468,东 西,169,7,简装,板楼
公路大桥,民安小区(道里区),3室2厅,73,5000,南 北,146,8,精装,板楼
中央大街,尊荣华府(道里区),3室1厅,322,17889,西 北,180,18,精装,塔楼
中央大街,友谊路,3室1厅,260,17334,南 北,150,9,精装,板楼
群力新区,盛和世纪,3室2厅,347,20779,南 北,167,30,毛坯,板楼
中央大街,观江国际,4室2厅,470,23770,东 南 西,197.73,33,精装,板塔结合
安字片,安平街,3室2厅,125,7576,南 北,165,7,精装,板楼
顾乡大街,新天地家园,2室2厅,110,9402,东 西,117,7,简装,板楼
群力新区,河松小区一期,3室1厅,81,7106,南 西,114,7,简装,板楼
经纬街,经纬五道街,3室1厅,140,10371,东 西,135,8,简装,板楼
建国公园,正阳花园,3室2厅,75,4902,南 北,153,7,精装,板楼
群力新区,塞纳阳光,3室1厅,156,9398,南 北,166,18,精装,板楼
顾乡大街,新天地家园,3室2厅,164.8,9364,东 西,176,20,精装,板楼
中央大街,大安街,4室2厅,130,6719,东 南 西,193.49,7,精装,板楼
顾乡凯德广场,宝宇荣耀天地,2室2厅,170,13282,南 北,128,32,简装,板楼
兆麟校,地段街,4室2厅,218,12248,西南,178,18,简装,塔楼
兆麟校,一面街,3室1厅,115,6354,南 北,181,9,简装,板楼
公路大桥,光华小区,3室2厅,210,13637,南 北,154,7,精装,板楼
群力新区,天鹅湾,3室1厅,280,16471,南 北,170,26,精装,板楼
群力新区,外滩首府,3室2厅,380,24676,南 北,154,31,精装,板楼
群力新区,恒盛豪庭,4室2厅,358,18872,南 北,189.7,32,精装,板楼
群力新区,盛和世纪,3室2厅,385,23334,南 北,165,30,精装,板楼
群力新区,盛和世纪,3室2厅,380,23171,东 南 北,164,32,毛坯,板楼
群力新区,群力新城中区,3室2厅,280,20572,南 北,136.11,18,精装,板楼
群力新区,群力新城中区,3室2厅,235,14552,南 北,161.5,28,精装,板楼
群力新区,星光耀广场,3室2厅,225,11905,南 北,189,29,精装,板楼
群力新区,盛和世纪,3室2厅,520,26340,南 北,197.42,5,精装,板楼
建国公园,松滨里小区,3室2厅,125,7103,南 北,176,7,简装,板楼
西大桥商圈,欧洲新城,3室2厅,235,13584,南 北,173,34,简装,板塔结合
兆麟校,盛达公寓,2室1厅,128,9697,东,132,28,简装,板楼
群力新区,盛和天下,3室2厅,370,20109,南 北,184,29,简装,板楼
安字片,安和街,3室1厅,55,4785,东 西,114.95,8,简装,板塔结合
群力新区,海富第五大道,3室1厅,380,25524,南 北,148.88,7,精装,板楼
西大桥商圈,欧洲新城,3室1厅,205,11648,北 南,176,26,精装,板塔结合
哈西商圈,新大发国际,3室2厅,130,10886,东 西 北,119.43,25,精装,板楼
爱建,经纬十二道街,3室1厅,165,13415,南 北,123,7,简装,板塔结合
群力新区,盛和世纪,3室2厅,520,26531,南 北,196,5,精装,板楼
群力新区,富力江湾新城,3室1厅,370,24667,南 北,150,29,精装,板楼
西大桥商圈,欧洲新城,3室1厅,188,11975,南 北,157,25,精装,板楼
爱建,上实盛世江南,2室2厅,270,18494,南 北,146,30,简装,板塔结合
爱建,锦园,3室2厅,268,15765,南 北,170,24,精装,塔楼
群力新区,河松小区一期,3室2厅,180,7259,东南,248,13,简装,塔楼
中央大街,红霞街,3室2厅,80,6667,南 北,120,8,简装,板楼
爱建,上实浪琴水岸,4室2厅,330,17369,南 北,190,28,精装,板楼
建国公园,丁香名苑,3室2厅,150,9616,北 南,156,8,精装,板楼
群力新区,星光耀广场,3室2厅,235,15260,南 北,154,31,精装,板楼
中央大街,观江国际,3室2厅,680,30223,南 北,225,39,精装,塔楼
安字片,安定街,3室1厅,85.8,8938,南 北,96,8,简装,板塔结合
西大桥商圈,松拖小区,3室1厅,41,5125,南 北,80,7,简装,板楼
群力新区,河政花园（公务员小区）,3室1厅,155,12110,南 北,128,6,简装,板楼
兆麟校,买卖街,4室2厅,150,7143,东 西,210,11,精装,板楼
群力新区,恒盛豪庭,3室2厅,360,21177,南 北,170,26,精装,板楼
爱建,上实盛世江南,4室2厅,650,20767,南 北,313,28,精装,板塔结合
群力新区,海富康城,3室2厅,210,12805,南 北,164,18,精装,板楼
群力新区,群力新城小区北区,4室1厅,420,20589,南 北,204,26,毛坯,板楼
公路大桥,建国南头道街,3室1厅,84.5,7042,南 北,120,8,精装,板楼
安字片,新湖明珠,4室2厅,320,16843,南 北,190,22,其他,板楼
群力新区,汇锦香槟湾,3室1厅,175.9,15430,东 南 北,114,32,精装,板楼
群力新区,汇锦庄园,5室2厅,495,18822,南 北,263,34,精装,板楼
安字片,安国街,3室1厅,70.8,7696,南 北,92,7,简装,板楼
兆麟校,奥丽维亚公寓,3室2厅,350,14000,东 南,250,24,简装,塔楼
建国公园,正阳花园,2室1厅,82.8,7804,南 北,106.11,8,精装,板楼
顾乡大街,郁金台,2室1厅,128,11229,南 北,114,33,精装,板楼
群力新区,群力新城小区北区,4室2厅,375,18383,南 北,204,32,精装,板楼
工农大街,迎宾小区,3室2厅,94,7705,南 北,122,7,简装,板楼
群力新区,盛和世纪,3室2厅,508,26737,南 北,190,5,精装,板楼
群力新区,群力观江国际,2室2厅,310,21831,南 北,142,30,精装,板楼
公路大桥,恒祥家园,4室2厅,243,12273,南 北,198,29,精装,板楼
公路大桥,恒祥家园,3室1厅,180,12163,南 北,148,26,精装,板楼
群力新区,恒大帝景,4室2厅,225,13804,南 北,163,26,精装,板楼
群力新区,星光耀广场,3室2厅,228,17015,南 北,134,30,精装,板楼
公路大桥,三电小区,2室1厅,130,11017,南 北,118,6,精装,板楼
顾乡大街,美晨家园,2室1厅,105,11974,南 北,87.69,7,精装,板塔结合
建国公园,松滨里小区,3室2厅,130,7223,东 南 北,180,7,精装,板楼
群力新区,盛和天下,3室2厅,390,23215,南 北,168,25,精装,板楼
西大桥商圈,康安路,2室1厅,72,7913,南 北,91,7,精装,板楼
群力新区,盛和世纪,3室2厅,520,28416,南 北,183,5,精装,板楼
群力新区,盛和世纪,3室2厅,460,23959,南 北,192,32,精装,板楼
公路大桥,宝宇凯旋城二期,2室1厅,237,15491,南 北,153,23,毛坯,板楼
公路大桥,华通名苑,3室2厅,190,11177,东北,170,15,简装,板楼
中央大街,上游街,1室1厅,147.8,13176,东 北,112.18,23,简装,板楼
建国公园,建国城市花园,2室1厅,120,10811,南 北,111,8,精装,板楼
建国公园,紫金城,3室2厅,280,14757,南 北,189.75,32,精装,板楼
群力新区,盛和世纪,3室2厅,585,29696,南 北,197,30,精装,板楼
群力新区,天鹅湾,3室2厅,252,16154,北 南 西,156,28,简装,板楼
建国公园,宝融上元府邸,3室2厅,218,14252,东 西 南,152.97,32,精装,板楼
群力新区,保利城,3室1厅,241,18977,南 西 北,127,33,简装,板楼
西大桥商圈,欧洲新城,3室2厅,215,11945,南 北,180,34,精装,板楼
群力新区,玫瑰湾小区东区,3室2厅,286,19067,北 南,150,29,精装,板楼
工农大街,群力新苑东区,3室2厅,139.8,11460,南 北,122,28,简装,暂无数据
群力新区,中海·紫御观邸,3室2厅,289,20993,南 北,137.67,5,精装,板楼
建国公园,建国街,2室1厅,54,6507,南,83,9,毛坯,板塔结合
爱建,工程小区,3室2厅,135,9375,南 北,144,7,精装,板塔结合
公路大桥,民安小区(道里区),3室1厅,90,7898,东 西,113.96,11,简装,板楼
群力新区,海富第五大道,3室2厅,275,19504,南 北,141,7,精装,板楼
工农大街,宜居家园,2室1厅,98.5,10825,南 北,91,7,简装,塔楼
建国公园,松滨里小区,2室1厅,77.8,8997,东 西,86.48,9,简装,板塔结合
群力新区,熙郡印象馨园,2室1厅,105,10709,西南,98.05,25,精装,板楼
兆麟校,中艺瑞宝名苑,3室1厅,136.5,10264,南 北,133,8,简装,板楼
兆麟校,石头道街,2室2厅,93,7882,南 北,118,8,简装,板楼
工农大街,群力新苑东区,2室1厅,99.8,13307,东 北,75,18,精装,暂无数据
公路大桥,通达世家,3室2厅,188,11750,南 北,160,16,精装,塔楼
公路大桥,建国南头道街,3室1厅,82,7428,东 西,110.4,8,简装,板塔结合
爱建,爱建涛园,3室1厅,238,17500,南 北 东,136,28,精装,板楼
群力新区,天鹅湾,4室3厅,680,26154,南 北,260,28,精装,板楼
兆麟校,东方明珠公寓,3室2厅,170,8598,东南,197.73,25,简装,塔楼
公路大桥,民安小区(道里区),3室1厅,58,5273,南 北,110,9,简装,板楼
公路大桥,光华小区,3室1厅,81,5786,东 西,140,8,简装,板楼
工农大街,宜居家园B区,2室1厅,95,9929,南 北,95.68,7,简装,塔楼
群力新区,群力新城中区,2室1厅,258,15829,南 北,163,26,简装,板楼
安字片,安升街(安隆街),3室1厅,104,7223,南 北,144,8,简装,板塔结合
公路大桥,建化街,3室1厅,69,7188,南 北,96,8,简装,板楼
建国公园,紫金城,3室2厅,175,14038,南 北 东,124.67,32,精装,板楼
群力新区,雨阳名居,3室2厅,178,14127,南 北,126,24,精装,板楼
中央大街,观江国际,4室2厅,480,24366,南 北,197,33,精装,板塔结合
安字片,安宁街,1室1厅,33,8685,东,38,8,精装,板楼
爱建,爱建紫园,3室2厅,245,13842,南 北,177,30,精装,板塔结合
公路大桥,阳明街,3室1厅,81.8,7575,南 北,108,8,简装,板楼
群力新区,锦江绿色家园,3室2厅,140,9590,南 北,146,7,精装,板楼
工农大街,漫步·巴黎,3室2厅,245,18015,南 北,136,10,精装,板楼
建国公园,建国街,3室1厅,62,5345,南 北,116,8,精装,板塔结合
公路大桥,共乐小区,3室2厅,99,8320,南 北,119,9,简装,板塔结合
公路大桥,恒祥大厦,2室1厅,108,9661,东,111.79,25,精装,板塔结合
公路大桥,光华小区,1室1厅,36.6,8134,西南,45,8,精装,板楼
爱建,上实盛世江南,3室2厅,309,17354,南 北,178.06,30,精装,板塔结合
群力新区,中海·紫御观邸,3室2厅,240,17519,南 北,137,3,毛坯,板楼
安字片,经纬十道街,2室1厅,60,11628,南 北,51.6,8,精装,板塔结合
工农大街,天昊百年俪景,3室2厅,218,14631,南 东 北,149,32,精装,板楼
建国公园,丁香名苑,2室1厅,122,9839,南 北,124,8,精装,板楼
群力新区,汇锦庄园,3室1厅,450,25281,南 北,178,31,精装,板楼
工农大街,天薇丽景园,2室1厅,90,12504,南 北,71.98,7,简装,板楼
公路大桥,光华小区,3室2厅,81.9,7584,南 北,108,8,精装,板楼
群力新区,保利城,3室2厅,168,15413,南 北,109,30,精装,板楼
建国公园,提拉米苏,2室1厅,150,13637,南 北,110,31,精装,板楼
群力新区,保利城,3室1厅,150,16079,南 北,93.29,31,精装,板楼
工农大街,上和园著,3室2厅,385,19846,南 北,194,32,精装,板楼
群力新区,群力观江国际,4室2厅,315,17631,南 北,178.67,30,简装,板楼
群力新区,招商贝肯山,2室2厅,208,16775,南 北,124,32,精装,板楼
建国公园,新阳路,2室1厅,89.8,7676,南 北,117,8,简装,板塔结合
群力新区,招商贝肯山,3室2厅,310,17480,南 北,177.35,25,精装,板楼
群力新区,民生尚都和园,2室2厅,120,9600,南 北,125,32,精装,板楼
安字片,经纬十道街,3室1厅,95,9772,南 北,97.22,7,简装,板楼
群力新区,招商贝肯山,3室2厅,350,19635,南 北,178.26,25,精装,板楼
公路大桥,宝宇凯旋城一期,2室2厅,208,14247,东 西 北,146,31,精装,板塔结合
公路大桥,民安小区(道里区),2室1厅,79.8,5868,东南,136,11,简装,板楼
群力新区,招商贝肯山二期,3室2厅,240,17648,南 北,136,18,精装,板楼
建国公园,通达馨园,3室2厅,149,9086,南 北,164,7,简装,板塔结合
爱建,上实盛世江南,4室2厅,475,19970,南 北,237.86,30,精装,板塔结合
爱建,上实盛世江南,2室1厅,278,19686,南 北,141.22,30,其他,板塔结合
爱建,经纬十二道街,3室1厅,140,11619,南 北,120.5,7,简装,板塔结合
